derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_age
Hispanic or Latino,Race Not Available,Joint,1,125000,3.625,125000,137,55-64
Not Hispanic or Latino,White,Male,1,505000,5.25,495000,126,25-34
Not Hispanic or Latino,Asian,Male,1,735000,4.375,745000,122,35-44
Not Hispanic or Latino,White,Male,1,165000,5.375,165000,74,25-34
Not Hispanic or Latino,White,Male,1,25000,5.75,605000,116,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,395000,4,395000,66,25-34
Not Hispanic or Latino,Asian,Joint,1,35000,6,565000,198,35-44
Not Hispanic or Latino,Asian,Male,1,245000,4.375,445000,69,>74
Not Hispanic or Latino,Asian,Male,1,295000,4.375,395000,90,35-44
Hispanic or Latino,White,Female,1,415000,3.75,425000,93,25-34
Not Hispanic or Latino,White,Male,1,255000,5.5,785000,128,55-64
Not Hispanic or Latino,White,Joint,1,95000,4,755000,40,>74
Ethnicity Not Available,Race Not Available,Joint,1,265000,2.75,405000,110,25-34
Ethnicity Not Available,Race Not Available,Joint,1,225000,4.375,815000,227,55-64
Not Hispanic or Latino,Asian,Joint,1,495000,3.5,505000,154,25-34
Hispanic or Latino,Race Not Available,Male,1,55000,5.75,325000,55,35-44
Hispanic or Latino,Black or African American,Female,1,275000,4.375,265000,75,25-34
Ethnicity Not Available,Race Not Available,Male,1,105000,5.5,615000,106,55-64
Not Hispanic or Latino,White,Male,1,25000,5.75,605000,146,55-64
Not Hispanic or Latino,White,Joint,1,65000,4,305000,48,65-74
Not Hispanic or Latino,White,Joint,1,625000,4.125,685000,125,25-34
Joint,White,Joint,1,555000,4,555000,113,25-34
Not Hispanic or Latino,White,Joint,1,255000,4.625,305000,80,35-44
Not Hispanic or Latino,White,Male,1,565000,4.125,555000,129,25-34
Not Hispanic or Latino,Black or African American,Joint,1,295000,4,295000,83,25-34
Not Hispanic or Latino,Black or African American,Female,1,415000,3.125,635000,78,55-64
Hispanic or Latino,Black or African American,Male,1,265000,4.125,265000,54,<25
Joint,White,Joint,1,505000,4.625,505000,185,35-44
Not Hispanic or Latino,White,Joint,1,55000,5.75,1045000,224,55-64
Ethnicity Not Available,Race Not Available,Male,1,495000,4,565000,151,45-54
Not Hispanic or Latino,White,Male,1,405000,5.875,405000,100,<25
Ethnicity Not Available,Black or African American,Joint,1,705000,4,695000,244,45-54
Hispanic or Latino,White,Joint,1,565000,4.5,705000,149,25-34
Not Hispanic or Latino,White,Male,1,135000,5.625,165000,69,25-34
Not Hispanic or Latino,White,Male,1,505000,5.75,835000,225,65-74
Hispanic or Latino,Race Not Available,Female,3,35000,4.458762699,415000,57,35-44
Not Hispanic or Latino,White,Joint,1,485000,4.125,475000,65,<25
Ethnicity Not Available,Race Not Available,Joint,1,485000,4.375,485000,123,25-34
Ethnicity Not Available,Race Not Available,Male,1,685000,5.25,735000,208,35-44
Not Hispanic or Latino,White,Male,1,295000,3.75,495000,106,45-54
Not Hispanic or Latino,Joint,Joint,1,115000,3.625,175000,108,45-54
Ethnicity Not Available,Race Not Available,Male,1,215000,4.125,505000,89,45-54
Not Hispanic or Latino,White,Male,1,75000,5.75,625000,95,55-64
Not Hispanic or Latino,White,Joint,1,155000,4.375,555000,83,55-64
Not Hispanic or Latino,Joint,Joint,1,205000,4.5,535000,46,>74
Hispanic or Latino,White,Male,1,135000,6,645000,176,45-54
Hispanic or Latino,White,Joint,1,515000,4.125,515000,86,25-34
Not Hispanic or Latino,Black or African American,Male,1,605000,4.5,635000,175,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,165000,4,175000,55,25-34
Not Hispanic or Latino,White,Male,1,455000,3.625,785000,121,25-34
Not Hispanic or Latino,Asian,Male,1,255000,4.25,325000,144,35-44
Ethnicity Not Available,Race Not Available,Joint,1,125000,5.5,485000,185,35-44
Not Hispanic or Latino,White,Joint,1,385000,4.375,525000,91,65-74
Not Hispanic or Latino,White,Male,1,585000,5.75,575000,168,25-34
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,465000,3.875,465000,88,35-44
Hispanic or Latino,White,Female,1,195000,5.25,305000,48,45-54
Not Hispanic or Latino,White,Joint,1,605000,3.875,765000,123,55-64
Not Hispanic or Latino,Asian,Joint,1,345000,4.25,515000,230,35-44
Not Hispanic or Latino,White,Joint,1,685000,4.125,795000,171,25-34
Joint,White,Joint,1,285000,4.125,285000,70,35-44
Not Hispanic or Latino,Joint,Joint,1,665000,3.875,655000,244,45-54
Not Hispanic or Latino,Black or African American,Female,1,625000,5.875,655000,128,35-44
Not Hispanic or Latino,White,Joint,1,485000,5,485000,112,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,305000,4.75,325000,73,25-34
Joint,White,Joint,1,505000,4,495000,145,45-54
Not Hispanic or Latino,Asian,Female,1,405000,4.375,635000,146,35-44
Hispanic or Latino,White,Male,1,585000,4.25,595000,108,35-44
Not Hispanic or Latino,Asian,Female,1,35000,6.05,405000,70,45-54
Not Hispanic or Latino,White,Male,1,255000,4.125,255000,63,25-34
Not Hispanic or Latino,Race Not Available,Joint,1,705000,4.125,755000,152,35-44
Not Hispanic or Latino,White,Joint,1,155000,4.5,305000,85,45-54
Not Hispanic or Latino,Joint,Joint,1,385000,4,375000,148,65-74
Ethnicity Not Available,Race Not Available,Joint,1,555000,4.125,555000,124,55-64
Not Hispanic or Latino,White,Joint,1,535000,4.125,565000,262,45-54
Not Hispanic or Latino,White,Joint,1,355000,4.625,395000,133,35-44
Hispanic or Latino,White,Male,3,95000,4.458762699,385000,111,35-44
Not Hispanic or Latino,Asian,Joint,1,485000,3.25,475000,100,35-44
Ethnicity Not Available,Race Not Available,Male,1,305000,5.375,325000,117.8525735,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,465000,3.875,505000,128,55-64
Not Hispanic or Latino,2 or more minority races,Male,3,435000,4.458762699,555000,84,55-64
Not Hispanic or Latino,White,Male,3,125000,4.458762699,1005000,138,35-44
Not Hispanic or Latino,White,Male,1,85000,2.75,105000,67,35-44
Hispanic or Latino,White,Joint,1,265000,4.375,325000,88,65-74
Not Hispanic or Latino,Asian,Male,1,435000,4.125,425000,97,35-44
Not Hispanic or Latino,White,Female,3,395000,4.458762699,505000,86,35-44
Not Hispanic or Latino,Black or African American,Male,1,505000,3.75,505000,91,45-54
Not Hispanic or Latino,White,Joint,1,25000,5.5,395000,235,55-64
Not Hispanic or Latino,Joint,Joint,1,195000,4.375,215000,204,25-34
Not Hispanic or Latino,2 or more minority races,Male,1,615000,4,605000,87,35-44
Ethnicity Not Available,Race Not Available,Male,1,405000,4.125,415000,78,35-44
Not Hispanic or Latino,White,Joint,1,25000,5.5,455000,145,55-64
Not Hispanic or Latino,White,Male,1,225000,4,245000,76,<25
Joint,Joint,Joint,1,425000,4.875,475000,86,45-54
Not Hispanic or Latino,White,Male,3,155000,4.458762699,305000,67,25-34
Ethnicity Not Available,Race Not Available,Joint,1,885000,5.375,885000,219,35-44
Ethnicity Not Available,Race Not Available,Joint,1,545000,4,545000,128,<25
Not Hispanic or Latino,White,Joint,1,55000,6.05,545000,220,45-54
Not Hispanic or Latino,White,Female,1,205000,4.125,335000,93,45-54
Not Hispanic or Latino,White,Male,1,165000,4.375,415000,35,45-54
Not Hispanic or Latino,White,Male,1,395000,4.625,425000,109,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,215000,3.75,425000,118,25-34
Not Hispanic or Latino,White,Male,1,405000,4.125,555000,200,55-64
Hispanic or Latino,White,Male,1,505000,4.125,495000,88,35-44
Not Hispanic or Latino,Asian,Joint,1,375000,5.375,365000,49,25-34
Not Hispanic or Latino,White,Male,1,155000,5.75,965000,61,65-74
Ethnicity Not Available,Race Not Available,Sex Not Available,1,565000,3.875,555000,147,35-44
Hispanic or Latino,White,Male,1,515000,3,675000,117.8525735,<25
Not Hispanic or Latino,Asian,Male,1,305000,4,415000,117,25-34
Ethnicity Not Available,Race Not Available,Male,3,75000,4.458762699,485000,131,45-54
Ethnicity Not Available,Race Not Available,Female,3,25000,4.458762699,295000,79,25-34
Not Hispanic or Latino,White,Joint,1,55000,5.5,585000,90,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,55000,6.05,715000,43,>74
Not Hispanic or Latino,White,Joint,1,145000,6.05,585000,238,35-44
Joint,White,Joint,1,465000,4,495000,189,35-44
Joint,White,Joint,1,315000,4,565000,136,25-34
Hispanic or Latino,White,Female,3,75000,4.458762699,235000,52,55-64
Not Hispanic or Latino,White,Male,1,25000,6.05,295000,46,35-44
Hispanic or Latino,White,Joint,1,255000,5,335000,52,55-64
Not Hispanic or Latino,Asian,Joint,1,325000,4.125,325000,88,25-34
Not Hispanic or Latino,White,Joint,1,505000,3.75,805000,157,35-44
Not Hispanic or Latino,White,Female,1,115000,4.625,345000,63,25-34
Hispanic or Latino,White,Male,1,265000,3.875,265000,86,25-34
Not Hispanic or Latino,White,Male,1,315000,4.625,345000,82,25-34
Hispanic or Latino,White,Joint,1,275000,5.875,265000,82,25-34
Not Hispanic or Latino,Asian,Joint,1,265000,2.75,625000,111,35-44
Not Hispanic or Latino,White,Female,1,315000,4.25,395000,101,25-34
Joint,White,Joint,1,55000,5.75,1055000,208,55-64
Not Hispanic or Latino,Asian,Joint,1,655000,4.75,875000,233,45-54
Not Hispanic or Latino,Asian,Joint,3,25000,4.458762699,425000,136,55-64
Not Hispanic or Latino,White,Joint,1,455000,3.875,465000,100,25-34
Not Hispanic or Latino,White,Joint,1,725000,4,785000,182,35-44
Not Hispanic or Latino,Black or African American,Female,1,585000,5.625,575000,119,25-34
Hispanic or Latino,White,Female,1,215000,4,215000,64,25-34
Not Hispanic or Latino,White,Female,1,945000,5.625,1045000,215,35-44
Not Hispanic or Latino,White,Male,1,155000,4.375,315000,104,55-64
Ethnicity Not Available,Race Not Available,Male,1,475000,4,485000,79,25-34
Not Hispanic or Latino,Joint,Joint,1,565000,5,785000,256,55-64
Not Hispanic or Latino,White,Joint,1,385000,4.375,395000,67,25-34
Not Hispanic or Latino,White,Joint,1,295000,4.125,285000,63,25-34
Not Hispanic or Latino,White,Joint,3,325000,4.458762699,465000,148,65-74
Not Hispanic or Latino,Asian,Joint,1,635000,3.625,765000,123,25-34
Joint,Joint,Joint,1,395000,4,395000,107,25-34
Not Hispanic or Latino,White,Joint,1,495000,4.375,495000,139,45-54
Hispanic or Latino,White,Male,1,35000,6,205000,63,25-34
Hispanic or Latino,White,Male,1,75000,5.75,545000,147,25-34
Hispanic or Latino,White,Male,1,205000,4.375,195000,58,25-34
Not Hispanic or Latino,Asian,Male,1,435000,5.5,435000,100,25-34
Not Hispanic or Latino,Black or African American,Male,1,245000,4.375,245000,48,35-44
Hispanic or Latino,Race Not Available,Male,1,425000,3.625,535000,102,35-44
Not Hispanic or Latino,White,Male,1,585000,5.125,655000,174,35-44
Hispanic or Latino,Race Not Available,Sex Not Available,1,675000,4,675000,95,25-34
Not Hispanic or Latino,Black or African American,Male,1,425000,4.375,415000,80,>74
Not Hispanic or Latino,White,Male,1,45000,6.05,625000,78,45-54
Not Hispanic or Latino,Joint,Joint,1,655000,4,655000,155,35-44
Not Hispanic or Latino,Black or African American,Male,1,255000,4.375,315000,82,35-44
Hispanic or Latino,White,Male,1,455000,3.875,575000,154,35-44
Not Hispanic or Latino,Asian,Joint,1,125000,4.5,395000,54,65-74
Hispanic or Latino,American Indian or Alaska Native,Male,3,25000,4.458762699,585000,89,25-34
Not Hispanic or Latino,White,Male,1,35000,6,475000,73,65-74
Not Hispanic or Latino,White,Male,1,45000,5.75,665000,125,35-44
Not Hispanic or Latino,Asian,Joint,1,265000,4.125,535000,184,45-54
Ethnicity Not Available,White,Male,1,175000,3.875,185000,86,35-44
Hispanic or Latino,White,Joint,1,255000,3.5,265000,51,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,3,475000,4.458762699,485000,116,25-34
Not Hispanic or Latino,White,Joint,1,445000,4.875,505000,142,25-34
Not Hispanic or Latino,White,Male,1,255000,4.125,265000,59,>74
Not Hispanic or Latino,Asian,Female,1,555000,4.625,695000,169,55-64
Not Hispanic or Latino,Asian,Joint,1,555000,4.875,585000,153,45-54
Not Hispanic or Latino,White,Male,1,175000,4.125,175000,50,<25
Not Hispanic or Latino,White,Male,1,55000,5.75,785000,118,35-44
Not Hispanic or Latino,White,Female,1,245000,4.75,435000,47,45-54
Hispanic or Latino,White,Male,1,185000,4.5,265000,58,35-44
Not Hispanic or Latino,White,Female,3,35000,4.458762699,815000,-4,45-54
Not Hispanic or Latino,White,Joint,1,425000,4,445000,98,<25
Not Hispanic or Latino,Asian,Joint,1,105000,5.75,565000,148,45-54
